,indirizzo_check
3464,WASHINGTON GIORGIO
3465,WASHINGTON GIORGIO
3466,ZAMENHOF LUDOVICO LAZZARO
3467,ABRUZZI
3468,CERTOSA
3469,CERTOSA
3470,CERTOSA
3471,COL DI LANA
3472,CONI ZUGNA
3473,CONI ZUGNA
3474,CONI ZUGNA
3475,CORSICA
3476,DORIA ANDREA
3477,ISONZO
3478,LOMBARDIA
3479,LUCANIA
3480,MAJNO LUIGI
3481,MONTE CENERI
3483,MONTE NERO
3484,MONTE NERO
3482,MONTELLO
3485,MONZA
3486,MONZA
3488,MONZA
3487,MONZA
3489,MONZA
3490,MONZA
3491,MURILLO S.B.
3492,PASUBIO
3493,PIAVE
3494,REGINA GIOVANNA
3495,SABOTINO
3496,STELVIO
3497,STELVIO
3498,SUZZANI GIOVANNI
3499,TESTI FULVIO
3500,TESTI FULVIO
3501,TUNISIA
3502,UMBRIA
3503,UMBRIA
3505,GROSOTTO
3504,NERVESA
3506,DELLA REPUBBLICA
3507,GROSSI TOMMASO
3508,ANDEGARI
3509,MEDA GIUSEPPE
3510,NICCODEMI DARIO
3511,PORPORA NICOLA ANTONIO
3515,PERUGINO
3516,BUENOS AIRES
3517,BUENOS AIRES
3518,BUENOS AIRES
3519,BUENOS AIRES
3520,COMO
3521,COMO
3522,DI PORTA ROMANA
3523,DI PORTA ROMANA
3524,DI PORTA ROMANA
3525,DI PORTA ROMANA
3526,DI PORTA VITTORIA
3527,DI PORTA VITTORIA
3528,GARIBALDI GIUSEPPE
3529,
3530,GENOVA
3531,ITALIA
3532,LODI
3533,LODI
3534,
3535,MATTEOTTI GIACOMO
3536,PLEBISCITI
3537,SAN GOTTARDO
3539,SEMPIONE
3538,SEMPIONE
3540,SEMPIONE
3541,VENEZIA
3542,VENTIDUE MARZO
3543,BUONAPARTE
3544,BUENOS AIRES
3545,UNIONE
3546,UNIONE
3547,UNIONE
3548,GIAMBELLINO
3549,RICHINI FRANCESCO
3550,VULCI
3551,GIOVANNI DALLE BANDE NERE
3552,GIULIO CESARE
3553,GORINI PAOLO
3554,LAGOSTA
3555,LUGANO
3556,ASPARI DOMENICO
3558,DE ANGELI ERNESTO
3557,DE ANGELI ERNESTO
3559,DE ANGELI ERNESTO
3560,DEL ROSARIO
3561,GRECO
3562,MORBEGNO
3563,NAPOLI
3564,PIO XI
3565,STUPARICH CARLO
3566,VELASCA
3567,ACCADEMIA
3568,AGNELLO CON INGR. IN VIA SAN PAOLO
3569,ANFOSSI AUGUSTO
3570,APPENNINI
3571,APPIANI ANDREA
3572,ARGANINI GEROLAMO
3573,ARIOSTO LODOVICO
3574,ASTESANI ALESSANDRO
3575,AUSONIO
3576,AUSONIO
3577,BEATO ANGELICO
3578,BELLOTTI FELICE
3579,BENACO
3580,BERTINI GIOVANNI BATTISTA
3581,BIUMI PAOLO GEROLAMO
3582,BOERI GIOVANNI BATTISTA
3583,BONI GIACOMO
3584,BONI GIACOMO
3585,BORGONUOVO
3586,
3587,BRUNELLESCHI FILIPPO
3588,BUONARROTI MICHELANGELO
3589,CABELLA BARTOLOMEO
3590,CADORE
3591,CAGLIERO GIOVANNI
3592,CAMINADELLA
3593,CAMPERIO MANFREDO
3594,CAPECELATRO ALFONSO
3595,CAPPONI PIER LUIGI
3596,CARABELLI RODOLFO
3597,CARDUCCI GIOSUE'
3598,CARROCCIO
3599,CASATI FELICE
3600,CASATI FELICE
3601,CASCINA BELLARIA
3602,CASCINA BIANCA
3603,CASORETTO
3604,CASSINIS GIOVANNI BATTISTA
3605,CASTELVETRO LODOVICO
3606,CAVEZZALI FRANCESCO
3608,CENISIO
3607,CENISIO
3609,CENISIO
3610,CESARE DA SESTO
3611,CIRCO
3612,COLA DI RIENZO
3613,COLONNA MARCO ANTONIO
3614,CREMA
3615,CROCEFISSO
3616,CUCCHIARI DOMENICO
3617,D'ADDA CARLO
3618,DAL RE MARCANTONIO
3619,DE CRISTOFORIS CARLO
3620,DEI BENEDETTINI
3621,DEI FIORDALISI
3630,DEL VECCHIO POLITECNICO
3629,DELL' UNIONE
3622,DELLA COMMENDA
3623,DELLA MOSCOVA
3624,DELLE ANDE
3625,DELLE FORZE ARMATE
3626,DELLE FORZE ARMATE
3628,DELLE FORZE ARMATE
3627,DELLE FORZE ARMATE
3631,DOMENICHINO
3632,DON BOSCO
3633,EDOLO
3634,EMANUELE FILIBERTO
3642,F.LLI FRASCHINI
3635,FARA GUSTAVO
3636,FARINI CARLO
3637,FARUFFINI FEDERICO
3638,FARUFFINI FEDERICO
3639,FAUCHE' GIOVANNI BATTISTA
3640,FERRUCCI FRANCESCO
3641,FILZI FABIO
3643,FONSECA PIMENTEL ELEONORA
3644,FOPPA VINCENZO
3645,FRAPOLLI LUIGI
3646,FRESCOBALDI GEROLAMO
3647,GALLARATE
3648,GALLINA GIACINTO
3649,GARIAN
3650,GARIGLIANO
3651,GHERARDINI GIOVANNI
3652,GIAMBELLINO
3653,GIAMBELLINO
3654,GIOIA MELCHIORRE
3655,GIOVIO PAOLO
3656,GONZAGA MAURIZIO
3657,GRAZIOLI DON BARTOLOMEO
3658,GRIGNA
3659,GROSOTTO
3660,GROSSICH ANTONIO
3661,HUGO VICTOR
3662,IMBONATI CARLO
3663,KORISTKA FRANCESCO
3664,LOMBARDINI ELIA
3665,LORENTEGGIO
3666,LOSANNA
3667,MADERNA BRUNO
3668,MAFFEI ANDREA
3669,MANUZIO ALDO
3670,MARCIANO
3671,MARGHERA
3672,MASACCIO
3673,
3674,MAURI ANGELO
3675,MAZZINI GIUSEPPE
3676,
3677,MEDA GIUSEPPE
3678,MEDEGHINO
3679,MELZO
3680,
3681,MERAVIGLI
3682,MERCALLI GIUSEPPE
3683,MESTRE
3684,MICHETTI FRANCESCO PAOLO
3685,MILLELIRE DOMENICO
3686,MINCIO
3687,MONTE NAPOLEONE
3688,MONTE NAPOLEONE
3690,MONTE ROSA
3691,MONTE SAN GABRIELE
3689,MONTEPULCIANO
3692,MURAT GIOACCHINO
3693,MURATORI LODOVICO
3694,NOVARA
3695,OLMETTO
3696,ORIANI ALFREDO
3697,PADOVA
3698,PAGANO MARIO
3699,
3700,
3701,PAMPURI FRA' RICCARDO
3702,PARETO VILFREDO
3703,PARINI GIUSEPPE
3704,PASSARELLA
3705,PATTARI
3706,PAULLO
3707,PAVONI LODOVICO
3708,PELIZZA DA VOLPEDO
3709,PESTALOZZI GIOVANNI ENRICO
3710,PEZZOTTI GIOVANNI
3711,PIACENZA
3712,PIERLUIGI GIOVANNI DA PALESTRINA
3713,
3714,PINAMONTE DA VIMERCATE
3715,PINDARO
3716,PINTURICCHIO
3717,PIOMBINO
3718,
3719,PIRANESI GIOVANNI BATTISTA
3720,PISTRUCCI SCIPIONE
3721,PISTRUCCI SCIPIONE
3722,PRINCIPE EUGENIO
3723,PROCACCINI GIULIO CESARE
3724,PROCACCINI GIULIO CESARE
3725,PURICELLI GIAN PIETRO
3726,QUARENGHI GIACOMO
3727,RAVIZZA CARLO
3728,REGGIO
3729,REINA FRANCESCO
3730,REMBRANDT
3731,RENZO E LUCIA
3732,RESSI ADEODATO
3733,REZIA
3734,RIPAMONTI GIUSEPPE
3735,RIPAMONTI GIUSEPPE
3736,RIPAMONTI GIUSEPPE
3737,RIPAMONTI GIUSEPPE
3738,ROMANO GIULIO
3739,ROMEO NICOLA
3740,RUSSOLI FRANCO
3741,SALA DEI LONGOBARDI
3742,SAMBUCO
3745,SAN GREGORIO
3746,SAN MAMETE
3747,SAN MARTINO
3748,SAN PAOLO
3749,SAN SIRO
3753,SAN VITO
3752,SAN VITO
3743,SAND GEORGE
3744,SANGALLO
3750,SANTA MARIA VALLE
3751,SANTA RITA DA CASCIA
3754,SANZIO RAFFAELLO
3755,SARPI FRA' PAOLO
3756,SARPI FRA' PAOLO
3757,SAVOLDO GIAN GIROLAMO
3758,SAVONA
3759,SAVONA
3760,SAVONA
3761,SCARLATTI DOMENICO
3762,SCHIAPARELLI GIOVANNI
3763,SCIESA AMATORE
3764,
3765,SIGIERI GOFFREDO
3766,SIRTORI GIUSEPPE
3767,
3768,STAMPA
3769,STOPPANI ANTONIO
3770,TADINO ALESSANDRO
3771,TERTULLIANO
3772,TEULIE' PIETRO
3773,TOLSTOI LEONE
3774,TONOLI RITA
3775,TORINO
3776,TRINCEA DELLE FRASCHE
3777,VAL DI BONDO
3778,VAL DI LEDRO
3780,VAL MESOLCINA
3779,VALLA LORENZO
3781,VANNUCCI ATTO
3782,VARESINA
3783,VIGNOLI TITO
3784,VIPACCO
3785,VITTORINI ELIO
3786,VOLTA ALESSANDRO
3787,VOLVINIO
3788,WASHINGTON GIORGIO
3789,WASHINGTON GIORGIO
3790,WATT GIACOMO
3791,ZAMENHOF LUDOVICO LAZZARO
3792,ZAMENHOF LUDOVICO LAZZARO
3793,ZUCCOLI LUCIANO
3794,ABRUZZI
3795,ABRUZZI
3796,ABRUZZI
3797,BEATRICE D'ESTE
3798,BODIO LUIGI
3799,CA' GRANDA
3800,CASSALA
3801,
3802,CORSICA
3803,D'ANNUNZIO GABRIELE
3805,DELL' INNOVAZIONE
3804,DELLE RIMEMBRANZE DI LAMBRATE
3806,ESPINASSE CARLO
3807,FAMAGOSTA
3808,LEGIONI ROMANE
3809,LUCANIA
3810,MOLISE
3811,MONTE NERO
3812,MONZA
3813,MONZA
3814,PAPINIANO
3815,REGINA MARGHERITA
3816,ROMAGNA
3817,SABOTINO
3818,
3819,SAN MICHELE DEL CARSO
3820,SAN MICHELE DEL CARSO
3821,SARCA
3822,STELVIO
3823,TIBALDI
3824,UMBRIA
3825,UMBRIA
3826,VITTORIO VENETO
3827,VITTORIO VENETO
3828,ZARA
3832,BRUZZANO
3829,VERCELLI
3830,JACOPINO DA TRADATE
3831,SARPI FRA' PAOLO
3512,CADAMOSTO ALVISE
3513,CASSIODORO
3514,CONI ZUGNA
2981,COMO
2982,DI PORTA VIGENTINA
2983,LODI
2984,MAGENTA
2985,VENEZIA
2986,BUONAPARTE
2987,CADORNA LUIGI
2988,LUIGI DI SAVOIA
2989,DELLA GUASTALLA
2990,ABAMONTI GIUSEPPE
2991,BALESTRIERI DOMENICO
2992,CAMINADELLA
2993,DE ALESSANDRI GIOVANNI
2994,DEGLI OROMBELLI
2995,DEL DON
2996,
2998,F.LLI INDUNO
2997,FILIPPINO DEGLI ORGANI
2999,GARIGLIANO
3000,GIACOSA GIUSEPPE
3001,GIOIA MELCHIORRE
3002,GIOVIO PAOLO
3003,KRAMER ANTONIO
3004,MARGHERA
3005,MARINETTI FILIPPO TOMMASO
3006,MASOLINO DA PANICALE
3007,MUSSI GIUSEPPE
3008,OXILIA NINO
3009,
3010,PETRARCA FRANCESCO
3011,PIER LOMBARDO
3012,POGGIBONSI
3013,REMBRANDT
3014,ROTTA PAOLO
3015,SETTEMBRINI LUIGI
3016,SOLFERINO
3017,SOLFERINO
3018,SPALLANZANI LAZZARO
3019,SPALLANZANI LAZZARO
3020,TEODOSIO
3021,TORINO
3022,VESPRI SICILIANI
3023,VITTANI GIOVANNI
3024,WASHINGTON GIORGIO
3025,BLIGNY
3026,CONI ZUGNA
3027,ETIOPIA
3028,MONZA
3029,PICENO
3030,TIBALDI
3031,UMBRIA
3032,CIVITALI MATTEO
3033,SANTA RITA DA CASCIA
3034,SAN GOTTARDO
3035,CINCINNATO
3036,ADIGE
3037,ANDREA E PIETRO CASCELLA
3038,BOSCOVICH RUGGERO
3039,CIAIA IGNAZIO
3040,DEI BIANCOSPINI
3041,GALENO CLAUDIO
3042,
3043,GOVONE GIUSEPPE
3044,KRAMER ANTONIO
3045,LAMBRATE
3046,MAIOCCHI ACHILLE
3047,MENOTTI CIRO
3048,OZANAM FEDERICO
3049,PACINI GIOVANNI
3050,PALMA JACOPO
3051,PARENZO
3052,PLINIO CAIO SECONDO
3053,RUBENS PIETRO
3054,SANGIORGIO ABBONDIO
3055,SCARLATTI DOMENICO
3056,SEBASTIANO DEL PIOMBO
3057,SLATAPER SCIPIO
3058,TITO LIVIO
3060,VAL TROMPIA
3059,VALPARAISO
3061,ZANELLA GIACOMO
3062,CONCORDIA
3063,GRAMSCI ANTONIO
3064,NAPOLI
3065,BERRA DOMENICO
3066,CADORE
3067,FOGAZZARO ANTONIO
3068,GALLARATE
3069,GIOVIO PAOLO
3070,GOVONE GIUSEPPE
3071,MADDALENA
3072,MECENATE
3073,POLESINE
3074,RONCHI
3075,SACCONI GIUSEPPE
3076,SANZIO RAFFAELLO
3077,SOLFERINO
3078,TEODOSIO
3079,ZANELLA GIACOMO
3080,ABRUZZI
3081,FAMAGOSTA
3082,RANZONI DANIELE
3083,CONCORDIA
3084,SCALABRINI GIOVANNI BATTISTA
3085,BERGOGNONE AMBROGIO DA FOSSANO
3086,BONGHI RUGGERO
3087,CUSANI
3088,DANTE ALIGHIERI
3089,DEI TULIPANI
3090,FERRIERI ENZO
3091,FILZI FABIO
3092,FRANCHETTI RAIMONDO
3093,FRIULI
3094,GOVONE GIUSEPPE
3095,LORENZO DI CREDI
3096,LORIA MOISE'
3097,MANGIAGALLI LUIGI
3098,MARCO D'OGGIONO
3099,PADOVA
3100,PILO ROSOLINO
3101,PLANA GIOVANNI ANTONIO
3102,SAN MARCO
3103,SCARPA ANTONIO
3104,SOLARI ANDREA
3105,SOTTOCORNO PASQUALE
3106,TAVAZZANO
3107,TRAIANO MARCO ULPIO
3108,VAL DI SOLE
3109,VERITA' DON GIOVANNI
3110,VERRO BERNARDINO
3111,VIOTTI GIOVANNI BATTISTA
3112,
3113,
3114,
3115,DI PORTA ROMANA
3116,MAGENTA
3117,DUCA D'AOSTA
3118,ARISTOTELE
3119,BOSCOVICH RUGGERO
3120,LORENTEGGIO
3121,MORIGI
3122,SETTEMBRINI LUIGI
3123,SOLFERINO
3124,VALLAZZE
3125,ASTESANI ALESSANDRO
3126,PALMANOVA
3127,RAMAZZINI BERNARDINO
3128,TRIESTE
3129,UMBRIA
3130,DI PORTA VOLTA
3131,BUENOS AIRES
3132,DI PORTA VIGENTINA
3133,IMPERATORE TITO
3134,FABRIANO
3135,FELTRE
3136,GALILEI GALILEO
3137,GIAMBELLINO
3138,LOMAZZO PAOLO
3139,MAIOCCHI ACHILLE
3140,MAZZINI GIUSEPPE
3141,PONTI ANDREA
3142,RICCARDI PADRE PLACIDO
3146,S. GIOV. SUL MURO
3143,SANZIO RAFFAELLO
3144,SEBENICO
3145,SETTEMBRINI LUIGI
3147,TRIVULZIO ANTONIO TOLOMEO
3148,
3149,VIGEVANO
3150,VITRUVIO
3151,CAMPANIA
3152,UMBRIA
3153,VERCELLI
3154,STAZIONE DI PORTA GENOVA
3155,DELLA REPUBBLICA
3156,FRATTINI PIETRO
3157,PEREGO GIOVANNI
3158,BRUNACCI VINCENZO
3159,DELLE FORZE ARMATE
3160,FERABOLI ACHILLE
3161,PESTALOZZI GIOVANNI ENRICO
3162,PONALE
3164,S. GIOV. SUL MURO
3163,SAN MARCO
3165,TERRUGGIA GIOVANNI
3166,TRAU'
3167,ABRUZZI
3168,ROMOLO
2911,DI PORTA VIGENTINA
2912,ITALIA
2913,TOSCANINI ARTURO
2914,CADORNA LUIGI
2915,LUGANO
2916,BAZZI GIOVANNI ANTONIO
2917,LUIGI DI SAVOIA
2918,MONTE FALTERONA
2919,MONTI GIOSIA
2920,ARZAGA
2921,BALDISSERA ANTONIO
2922,BONI GIACOMO
2923,BROCCHI GIAN BATTISTA
2924,CALZECCHI TEMISTOCLE
2925,CARCANO FILIPPO
2926,CASTALDI PANFILO
2927,CATALANI ALFREDO
2928,COSSA PIETRO
2929,DEGLI IMBRIANI
2932,DEL RICORDO
2930,DELLA COMMENDA
2931,DELLE ASOLE
2933,FARINI CARLO
2934,FAUCHE' GIOVANNI BATTISTA
2935,FEZZAN
2936,GAMBOLOITA
2937,GARIGLIANO
2938,GULLI TOMMASO
2939,KORISTKA FRANCESCO
2940,LARIO
2941,LEOPARDI GIACOMO
2942,LULLI GIOVANNI
2943,MAESTRI CAMPIONESI
2944,MEDA GIUSEPPE
2945,MEDEGHINO
2946,
2947,MURAT GIOACCHINO
2948,OSTIGLIA
2949,PADOVA
2950,PAPI LAZZARO
2951,PARRAVICINI RAFFAELE
2952,PERGOLESI GIOVANNI BATTISTA
2953,PICHI MARIO
2954,PIRANESI GIOVANNI BATTISTA
2955,PODGORA
2956,PONTE NUOVO
2957,QUARANTA BERNARDO
2958,QUARENGHI GIACOMO
2959,REDI FRANCESCO
2960,REINACH ERNESTO
2961,SCIESA AMATORE
2962,SENATO
2963,SILVA GUGLIELMO
2964,TEANO
2965,TRECCANI DEGLI ALFIERI GIOVANNI
2966,BLIGNY
2967,CORSICA
2968,CORSICA
2969,LIGURIA
2970,MONZA
2971,MONZA
2972,MONZA
2973,REGINA MARGHERITA
2974,STELVIO
2975,TIBALDI
2977,LODI
2976,CESARE DA SESTO
2978,VAL DI SOLE
2979,MAGENTA
2980,GALVANI LUIGI
3833,VENTIDUE MARZO
3834,VERCELLI
3835,BACONE FRANCESCO
3836,ACERBI ENRICO
3837,ADRIANO PUBLIO ELIO
3838,ALDROVANDI ULISSE
3839,
3840,BERGOGNONE AMBROGIO DA FOSSANO
3841,BRIOSCHI FRANCESCO
3842,BRUSUGLIO
3843,CANONICA LUIGI
3844,CASCINA BELLARIA
3845,CASORETTO
3846,CINQUE MAGGIO
3847,EDOLO
3850,F.LLI ZOIA
3848,FACCHINETTI CIPRIANO
3849,FATEBENEFRATELLI
3851,GIOIA MELCHIORRE
3852,GOZZI GASPARE
3853,LITTA MODIGNANI ALESSANDRO
3854,MAC MAHON
3855,MARGHERA
3856,MILLELIRE DOMENICO
3857,NOVARA
3858,ORNATO LUIGI
3859,PARENZO
3860,PIACENZA
3861,PIRANESI GIOVANNI BATTISTA
3862,PLINIO CAIO SECONDO
3863,PONTI ETTORE
3864,REMBRANDT
3865,RIVA DI TRENTO
3866,ROGOREDO
3867,RUBENS PIETRO
3868,SAN MAMETE
3869,SEBENICO
3870,TARTINI GIUSEPPE
3871,TORRE CARLO
3873,VAL TROMPIA
3872,VALTELLINA
3874,VERTOIBA
3875,VIGEVANO
3876,VIPACCO
3877,VITRUVIO
3878,WITTGENS FERNANDA
3879,BEZZI ERGISTO
3880,CATERINA DA FORLI'
3881,CORSICA
3882,FAMAGOSTA
3883,MONZA
3884,MONZA
3885,SARCA
3886,MAGENTA
3887,UNIONE
3888,F.LLI ZAVATTARI
3889,FARINI CARLO
3890,GESSI ROMOLO
3891,PIRANESI GIOVANNI BATTISTA
3892,SATTA SEBASTIANO
3893,SPALLANZANI LAZZARO
3894,MONTE NERO
3895,CERADINI GIULIO
3896,DURER ALBERTO
3897,ZURETTI GIANFRANCO
3898,CASARSA
3899,CENISIO
3900,DEGLI IMBRIANI
3901,POMA CARLO
3902,VARESE
3903,WASHINGTON GIORGIO
3904,SARPI FRA' PAOLO
3905,DI PORTA TICINESE
3906,CANDOGLIA
3907,
3908,MADONNINA
1090,ALBERTINELLI MARIOTTO
1091,BARACCHINI FLAVIO
1092,BATTAGLIA NATALE
1093,BROGGI GIUSEPPE
1094,CREMA
1095,DELLE FORZE ARMATE
1096,ILLIRICO
1097,LECCO
1098,LODOVICO IL MORO
1099,MILLELIRE DOMENICO
1100,PARUTA PAOLO
1101,POLLAIUOLO ANTONIO
1102,RAVIZZA CARLO
1103,SERCOGNANI GIUSEPPE
1104,VIGEVANO
1105,BRIANZA
0,DEI GELSOMINI
1,FIDIA
2,ADIGE
3,BARACCHINI FLAVIO
4,BERGAMO
5,BOTTEGO VITTORIO
6,BRIOSCHI FRANCESCO
7,CUCCHIARI DOMENICO
8,JAN GIORGIO
9,LEGNONE
10,MELLONI MACEDONIO
11,NEGROLI
12,PALMANOVA
13,POLLAIUOLO ANTONIO
14,PORPORA NICOLA ANTONIO
15,PROCACCINI GIULIO CESARE
16,ROSSI PELLEGRINO
17,SANT' ANATALONE
18,SARPI FRA' PAOLO
19,SETTALA LODOVICO
20,STRAMBIO GAETANO
21,TENCA CARLO
22,TOSELLI PIETRO
23,VERITA' DON GIOVANNI
24,WATT GIACOMO
25,BLIGNY
26,CORSICA
27,SABOTINO
28,SABOTINO
29,SUZZANI GIOVANNI
30,TUNISIA
