Ubicazione
RIP DI PTA TICINESE N. 33 (z.d. 6)
RIP DI PTA TICINESE N. 9 ; (z.d. 6)
SIT DELLA GUASTALLA N. 3 ; (z.d. 1)
VIA ABAMONTI GIUSEPPE N. 1 ; (z.d. 3)
VIA ABAMONTI GIUSEPPE N. 2 ; (z.d. 3)
VIA ABBAZIA N. 6 ; (z.d. 2)
VIA ACCADEMIA N. 23 ; (z.d. 3)
VIA ACERBI ENRICO N. 34 (z.d. 9)
VIA ACERBI ENRICO N. 34 con ingresso p.za alciato; (z.d. 9)
VIA ADIGE N. 10 (z.d. 5)
VIA ADIGE N. 10 ; (z.d. 5)
VIA ADIGE N. 4 ; (z.d. 5)
VIA ADIGE N. 7 ; (z.d. 5)
VIA ADRIANO PUBLIO ELIO N. 100 ; (z.d. 2)
VIA ADRIANO PUBLIO ELIO N. 94 ; (z.d. 2)
VIA AGNELLO N. 18 ; (z.d. 1)
VIA AGNELLO con ingr. in via san paolo n.7 num.0061; (z.d. 1)
VIA AGUDIO TOMMASO N. 4 interno cortile; (z.d. 8)
VIA AJACCIO N. 4 ; (z.d. 3)
VIA ALBANI FRANCESCO N. 58 ; (z.d. 8)
VIA ALBANI FRANCESCO N. 63 ; (z.d. 8)
VIA ALBANI FRANCESCO N. 71 ; (z.d. 8)
VIA ALBERTI LEON BATTISTA N. 6 piano rialzato; (z.d. 8)
VIA ALBERTI LEON BATTISTA N. 8 ; (z.d. 8)
VIA ALBERTINELLI MARIOTTO N. 4 ; (z.d. 7)
VIA ALBERTINELLI MARIOTTO N. 7 (z.d. 7)
VIA ALBERTO DA GIUSSANO N. 1 ; (z.d. 7)
VIA ALBRICCI ALBERICO N. 1 ; (z.d. 1)
VIA ALBRICCI ALBERICO N. 10 ; (z.d. 1)
VIA ALBRICCI ALBERICO N. 8 ; (z.d. 1)
VIA ALCIATI AMBROGIO N. 15 ; (z.d. 6)
VIA ALCUINO N. 16 ; (z.d. 8)
VIA ALCUINO N. 18 ; (z.d. 8)
VIA ALCUINO N. 7 (z.d. 8)
VIA ALDINI ANTONIO N. 47 ; (z.d. 8)
VIA ALDINI ANTONIO N. 61 ; (z.d. 8)
VIA ALDROVANDI ULISSE N. 7 ang. via masera; (z.d. 3)
VIA ALEARDI ALEARDO N. 4 (z.d. 8)
VIA ALESSI GALEAZZO N. 11 ; (z.d. 1)
